"en","zh","ja"
"teleportatium","传送基质","テレポータチアム"
"Teleporting_cast","传送施放","テレポート詠唱"
"Teleportitis","快速传送","瞬間移動"
"Teleportitis_Dodge","传送回避","瞬間移動回避"
"Teloittaja","特洛伊塔亚","テロイッタヤ"
"Tempered_glass","钢化玻璃","強化ガラス"
"Temple_door",,
"Temple_of_the_Art","艺之神殿","芸術の神殿"
"Tentacler","触手怪","触覚発生器"
"text","文本","テキスト"
"The_end_of_everything","万物之终结","すべての終わり"
"The_Green_Lion","青狮","緑のライオン"
"The_Laboratory","实验室","研究所"
"The_Salt","盐","ザ・ソルト"
"The_Vault","避难所","金庫室"
"The_Vessel_of_the_Philosophers","哲人容器","賢者の器"
"The_Work","伟大之作","至聖所"
"Throne_room","王座室","王座の部屋"
"Throwing_Knife","飞刀","ナイフ投げ"
"Thunder_charge","雷霆放射","雷チャージ"
"Thunder_Kick","雷霆踢击","雷キック"
"Thunder_wand","雷霆魔杖","雷の杖"
"Thundercloud","雷云","雷の雲"
"Tinker_With_Wands_Everywhere","随时修补魔杖","どこでも杖を改良する"
"TNT","TNT","TNT"
"Toasty_egg","暖和的蛋","灼熱の卵"
"Toimari","多伊马利","トイマリ"
"Tome_of_Essences","精髓书卷","エッセンスの学術書"
"Torch","火把","たいまつ"
"Torjuntalaite","托利雍达莱特","トリュンタライテ"
"Touch_of_Blood","鲜血之触","血の手"
"Touch_of_Gold","黄金之触","ゴールドの手"
"Touch_of_Oil","油脂之触","オイルの手"
"Touch_of_Smoke","烟雾之触","煙の手"
"Touch_of_Spirits","烈酒之触","スピリッツの手"
"Touch_of_Water","清水之触","水の手"
"tough_wood","硬木","丈夫な木材"
"Toukka","托乌卡","トウッカ"
"Toveri","托维利","トヴェリ"
"Toveri_lohkare","托维利罗霍卡列","トヴェリ・ロウカレ"
"Tower","塔","塔"
"toxic_gas","毒液气体","猛毒ガス"
"toxic_gold","淬毒黄金","猛毒ゴールド"
"toxic_ice","毒冰","猛毒の氷"
"Toxic_Immunity","毒素免疫","毒に対する免疫"
"toxic_meat","有毒的肉","猛毒な肉"
"toxic_mist","毒雾","猛毒ミスト"
"Toxic_Power","毒液之力","猛毒パワー"
"toxic_rock","附有毒液的岩石","猛毒の岩"
"toxic_sludge","毒性淤泥","猛毒ヘドロ"
"Toxic_Sludge_Immunity","毒液免疫","猛毒ヘドロに対する免疫"
"Toxic_sludge_to_acid","毒性淤泥酸液化","猛毒ヘドロから酸へ"
"Treasure_chest","宝箱","宝箱"
"Trick_Blood_Money","技巧抚恤金","血の金塊トリック"
"Trick_Greed","技巧贪婪","トリック貪欲"
"Triple_scatter_spell","三重散射法术","3倍スキャター呪文"
"Triple_spell","三重法术","3倍呪文"
"Triplicate_bolt","三联魔弹","トリプリケイトボルト"
"True_Knowledge","真正的知识","真の知識"
"Truest_of_Knowledge","最真切的知识","真・真の知識"
"Tulihiisi","图尔西系","ツリヒーシ"
"Tuonelankone","吐喏内兰孔","トゥアネランコネ"
"Turquoise_gemstone","绿松石宝石","ターコイズの原石"
"Turso","图尔索","ツールソ"
"Turvalennokki","图尔瓦勒诺基","トゥルヴァレンノッキ"
"Turvattomuusmestari","图尔瓦图木斯梅斯塔利","トゥルヴァットムースメスタリ"
"Turvonnu_velho","督勒汶努维乐霍","ツヴォンヌ・ヴェルホ"
"twisty_passages","扭曲通道","曲がりくねった道"
"Two-way_fireball_thrower","双向火球发射器","双方向火の玉スローワー"
"Ukko","乌可","ウッコ"
"Ukkoshyypiö","乌科尔希皮欧","ウッコシーピオ"
"Ukkoskivi",,
"Ukkoskoira","乌可斯柯伊拉","ウッコスコイラ"
"Underground_Jungle","地下丛林","地下ジャングル"
"Unicorn_farts","独角兽屁","ユニコーンのオナラ"
"unknown","未知","不明"
"Unlimited_Spells","无限法术","無限呪文"
"Unlocks","解锁","アンロック"
"Unohdettu","优诺德图","ウノフデット"
"unstable_berserkium","不稳狂暴基质","不安定なバーサーキアム"
"Unstable_crystal","不稳晶体","不安定なクリスタル"
"Unstable_crystal_with_trigger","带有触发的不稳晶体","トリガー付きの不安定なクリスタル"
"unstable_healthium","不稳生命基质","不安定なヘルシアム"
"unstable_invisiblium","不稳隐形魔药","不安定な透明ビリアム"
"Unstable_meat","不稳肉块","不安定な肉"
"unstable_pheromone","不稳费洛蒙","不安定なフェロモン"
"unstable_polymorphine","不稳变形魔药","不安定な多形性型"
"Unstable_portal","不稳传送门","不安定なポータル"
"unstable_teleportatium","不稳传送基质","不安定なテレポータチアム"
"Upwards_larpa","上方向拉帕","上方幼生"
"urine","尿液","尿"
"Uusi_Aurinko","乌西奥林戈","ウーシ・アウリンコ"
"Vacuum_Field","真空场","真空フィールド"
"Vaihdosmestari","伐伊多斯梅斯塔利","ヴァイフドスメスタリ"
"Vakoilija","瓦可伊利亚","ヴォコイリヤ"
"Valaistunut_alkemisti","伐赖斯图努特·阿尔科米斯提","ヴァライスタナット・アルケミスティ"
"Valo","瓦罗","ヴァロ"
"Valtikka","瓦尔提卡","ヴァルティッカ"
"Vampirism","吸血术","吸血鬼"
"Varjokupla","瓦吉奥库普勒","ヴァルヨクプラ"
"Varpuluuta","瓦普鲁塔","ヴァルプルータ"
"Vasta","瓦斯塔","ヴァスタ"
"vault_rock","拱顶石","湾曲岩"
"Venomous_Curse","猛毒诅咒","毒の呪い"
"Verikristalli","维利克里斯塔利","ヴェリクリスターリ"
"Vertical_barrier","垂直屏障","垂直バリア"
"Veska","维斯卡","ヴェスカ"
"vibrant_gold_vein","醒目的金矿矿脉","活力ある黄金鉱脈"
"Vihta","卫胡塔","ヴィータ"
"vine","藤蔓","つる"
"Void_liquid","虚无液体","虚無の液体"
"Volcanic_Cave","火山洞穴","火山性の洞窟"
"Volcanic_Lake","火山湖","火山性の湖"
"volcanic_rock","火山岩","火山岩"
"volcanic_sand","火山砂","火山の砂"
"Vomit","呕吐物","嘔吐"
"Vuoksikivi","Vuoksikivi","ヴゥオクシキビ"
"Wand","魔杖","杖"
"Wand","魔杖","杖"
"Wand_Experimenter","魔杖实验者","杖実験"
"Wand_of_Destruction","破坏魔杖","破壊の杖"
"Wand_of_Multitudes","群体魔杖","多発の杖"
"Wand_of_Swiftness","迅速魔杖","迅速の杖"
"Wand_Radar","魔杖雷达","杖レーダー"
"Wand_Refresh","魔杖刷新","杖のリフレッシュ"
"Warp_cast","传送施放","ワープ詠唱"
"water","水","水"
"Water_to_poison","化水为毒","水から毒へ"
"Water_trail","清水轨迹","水の痕跡"
"wax","蜡","ワックス"
"weak_brickwork","脆弱的砖块","弱いレンガ"
"Weakening_Curse_-_Electricity","虚弱诅咒_-_雷电","弱る呪い_-_電撃"
"Weakening_Curse_-_Explosives","虚弱诅咒_-_爆炸","弱る呪い_-_爆発物"
"Weakening_Curse_-_Melee","虚弱诅咒_-_近战","弱る呪い_-_近接"
"Weakening_Curse_-_Projectiles","虚弱诅咒_-_投射物","弱る呪い_-_放射物"
"weird_fungus","怪异真菌","奇妙なキノコ"
"Weird_meat","怪异的肉","変な肉"
"wet_sodium","湿钠","濡れたソディウム"
"whiskey","威士忌","ウイスキー"
"Whiskey_fumes","威士忌烟雾","ウイスキーの香り"
"White_Eagle","白鹰","白いイーグル"
"who_knows","天知道","不明"
"Wiggling_egg","摆动的蛋","蠢く卵"
"Wizards'_den","巫师巢穴","魔法使いの棲家"
"Wobbly_meat","长毛的肉","不安定な肉"
"wood","木材","木材"
"Worm_Attractor","蠕虫吸引者","蠕虫吸引"
"worm_blood","蠕虫血液","蠕虫の血"
"Worm_crystal","蠕虫晶体","蠕虫クリスタル"
"Worm_Detractor","蠕虫排斥者","蠕虫の嫌われ者"
"Worm_Launcher","蠕虫发射器","蠕虫ランチャー"
"worm_meat","蠕虫的肉","蠕虫の肉"
"worm_pheromone","蠕虫费洛蒙","蠕虫のフェロモン"
"X-ray_modifier","透视修正","レントゲン調整盤"
"Yellow_Glimmer","黄色闪光","黄色の光"
"Ylialkemisti","伊利阿尔科米斯提","イリアケミスティ"
"Zeta","泽塔","ゼータ"
